platform	course_id	course_name	course_category
L	l-100222	Git Essential Training (2012)	Software Development
L	l-100223	Learning Screenwriting	Video
L	l-100583	"Matting, Framing, and Hanging Your Photographs"	[Uncategorized]
L	l-101460	iBooks Author Essential Training	Training and Education
L	l-101504	Negotiation Foundations (2012)	[Uncategorized]
L	l-101505	"The Creative Spark: Brian Taylor, Handmade Photography"	[Uncategorized]
L	l-102701	Public Speaking Foundations (2012)	[Uncategorized]
L	l-103265	Lighting for Photographers: Portraiture	Photography
L	l-103615	Negotiating Your Salary (2012)	[Uncategorized]
L	l-103678	Inkjet Printing for Photographers	Photography
L	l-103702	Insights from a College Career Coach	"Professional Development, Training and Education, Career Development"
L	l-104216	Digital Matte Painting: Changing a Scene From Summer to Winter	[Uncategorized]
L	l-104964	SQL Server: Triggers Stored Procedures and Functions	"Software Development, Database Management"
L	l-104965	Video Foundations: Interviews	Video
L	l-105362	Avid Media Composer: Documentary Editing	[Uncategorized]
L	l-105371	Learning DSLR Filmmaking	Video
L	l-105388	Premiere Pro: Documentary Editing	Video
L	l-105501	SharePoint Designer 2010: Building Custom Workflows	Business Software and Tools
L	l-106698	Graphic Design Foundations: Typography	"Animation and Illustration, Graphic Design, Motion Graphics and VFX"
L	l-106788	Learning Software Version Control	Software Development
L	l-106928	Animating Characters in Toon Boom Animate	Animation and Illustration
L	l-107061	Advanced Java Programming (2012)	[Uncategorized]
L	l-107421	Responsive Design Workflows	Web Design
L	l-107471	Photo Workshop: Portrait of an Exotic Car	[Uncategorized]
L	l-108138	Introducing Photoshop: Design	"Animation and Illustration, Graphic Design"
L	l-108139	Introducing Illustrator (2013)	[Uncategorized]
L	l-108541	Learning Captivate 6	Training and Education
L	l-108884	Melodyne: Advanced Techniques	Audio and Music
L	l-108970	Learning CAT Rigging Tools in 3ds Max	[Uncategorized]
L	l-108971	Working On Camera: Video Makeup Techniques	[Uncategorized]
L	l-108973	Web Video: Develop Your Video Presence	Video
L	l-108974	Web Video: Lighting	Video
L	l-109358	Audio Mastering Techniques	Audio and Music
L	l-109363	GarageBand for iOS Essential Training	Audio and Music
L	l-110278	Delegating Tasks to Your Team (2013)	[Uncategorized]
L	l-110279	Freelancing Foundations (2013)	[Uncategorized]
L	l-110282	Advanced SQL Server: Reporting Services	"Software Development, Database Management"
L	l-110284	Java: Database Integration with JDBC	"Software Development, Database Management"
L	l-110285	Learning Graphic Design: Things Every Designer Should Know	"Animation and Illustration, Graphic Design, Motion Graphics and VFX"
L	l-110712	Applied Interaction Design	User Experience
L	l-110714	Remixing Techniques: Arranging and Song Form	[Uncategorized]
L	l-110885	Learning Bootstrap 2	Web Development
L	l-111232	Photography Foundations: Macro and Close-Up	[Uncategorized]
L	l-111597	Artistic Painting with Illustrator: Natural Media Brushes	Animation and Illustration
L	l-111598	Learning NoSQL Databases	"Software Development, Database Management"
L	l-111698	iPad Music Production: Auria	[Uncategorized]
L	l-111782	Outlook 2013 Essential Training	[Uncategorized]
L	l-112414	Advanced PHP: Debugging Techniques	Web Development
L	l-112674	Learning Logo Design	Graphic Design
L	l-112807	Running a Design Business: Designer-Client Agreements	"Graphic Design, Small Business and Entrepreneurship"
L	l-112934	Element 3D Essential Training (2013)	[Uncategorized]
L	l-114002	"Print Production: Embossing, Foil Stamping, and Die Cutting"	[Uncategorized]
L	l-114004	Modeling Vehicles in Maya	[Uncategorized]
L	l-114175	Developing Brand Identity Collateral	Graphic Design
L	l-114324	InDesign: Beyond the Essentials	Graphic Design
L	l-114325	Learning Sublime Text 2	Web Development
L	l-114326	Learning Ableton Live 9	[Uncategorized]
L	l-114884	SharePoint 2013 New Features	[Uncategorized]
L	l-114886	CSS: Formatting Visual Data	"Web Design, Web Development"
L	l-114891	Excel 2013: Pivot Tables	"Business Software and Tools, Data Science"
L	l-114900	JavaScript and AJAX: Integration Techniques	Web Development
L	l-114901	JavaScript and JSON: Integration Techniques	Web Development
L	l-114902	Visual Basic Essential Training (2013)	[Uncategorized]
L	l-114903	Monday Productivity Pointers	Business Software and Tools
L	l-114911	After Effects Compositing: 6 Tracking and Stabilization	Motion Graphics and VFX
L	l-114914	After Effects Compositing: 4 Color Keying	"Motion Graphics and VFX, Video"
L	l-114915	After Effects Compositing: 1 Intro to VFX	[Uncategorized]
L	l-115426	Running a Design Business: Starting Small	"Graphic Design, Small Business and Entrepreneurship"
