,content,uuid
0,Compliance: Data Protection & Privacy General Awareness - Engineering,758a68dbd1e844e38b3c9a297b726ac7
1,"NPI: SDWAN Platform Overview, cEdge 16.9.1, Viptela 18.3.0 - Viptela",8ab93c772a0e457d8880109d445198ed
2,PRNE - Programming for Network Engineers v1.0,cd3cfc7144a84d359fabb520ce6c679a
3,CE ($50),0d24d4708c4541c3bd95a6fb1ad0022c
4,Update to Deliverable Review and Storage Process,3229e9b133d9433d9636e59303b0eea7
6,ENG:Cisco Security White Belt Foundational v.2,8c00d8ab427141b8b6afb2cb9c28ab7d
7,CALO Fundamentals,196d24079fdd4c4bb037092b1c32aea4
8,Power of Teams: Workshop Plus,89d01272aa7a4a7899cb0debb389adc3
10,Emotional Intelligence,b01d8ce05e6642f891ca33fc138dbeab
11,Compliance: Introduction to Privacy,81145fdb78f6452eab2f18927d6c5285
12,"Safari Books Online, Annual Subscription",a21ce311fc93435095ff147ce293101d
13,Business Critical Services Consulting Enablement Overview,b4ef0e83410d4891b31ee51f5f64b53d
14,Business Critical Services Consulting Enablement - Client Priorities Discovery Workshop,d56e95b2747b4ab4b0ca307a284c118a
16,Business Critical Services Delivery Approach,1ec3d872fe6f41a183500c8e07789d2c
17,Executive Review Automation Toolkit - Create both the Executive and All Audience Deck,67cca207e710469797f9cfe590090b57
18,Data Center Optimization Through Big Data and Analytics,dc8ffdf826d041da8b170aa89f4c1c43
19,ENG: Big Data Fundamentals: Introduction to Data Science and Tools,7d54630e26c54ca5b7ad0aa852837ccc
20,Integration Change Management,32dfd445a0704664aa156903cab5a4d3
21,Integration Project Management,2a68209a031a4ae49a31fdd4709bb674
22,Integration Team Roles and Responsibilities,71d95ac4de9b4667a86af92fef59f262
23,Introduction to Budgeting for Integrations and eRTB,0ece1aea079041878511a55d70d6e931
25,Compliance: Global Anti-Corruption and Bribery FY18,1dc1413cd2c24f319ce1617352a97308
31,Compliance: Ladder Safety Training v2,e935daded7434fc7a2a3e0ea8ee0e5ae
32,Managing Bias E-learning Module,4f259b1bf80f4729ae33d9489a6558c4
34,Employee Services Brown Bag Series,b5a47d985d2e423a837d820bbf8d5c8a
35,ENG: Udemy for Business - Subscription Access,e486fd389fb94e6bbfe54dac7ecbec43
36,"What""s happening in IT for Infrastructure strategy?",6bd4b94daf6f49f688b356363d8eb652
37,NPI: Video Surveillance Manager - VSM - 7.12 - IOTCSSBU,4e16a2c19ce248c0bb9d246869b69917
