,content,uuid
0,QuickBooks Online Essential Training,fe0880cf0f3b48fc819a59c2841f0e72
1,Learning Kubernetes,add3f073b58947058ba6618a976f690f
3,Python Automation and Testing,da02ebc2dddc4e36b53f15f8492c8086
4,Penetration Testing: Advanced Kali Linux,534844652cb34accbddaaa62f5230976
5,Avoiding New Manager Mistakes,812bc1d52c9a400f9188bb1082186c50
6,Learning SSL/TLS,871444ffa0f44a23b498bc8a55821ffd
7,Leading at a Distance,958af82497114a27a200bb92e43c7600
8,Learning NGINX,9a2fb2dfea53495c875e84eb94951e23
10,Python Quick Start,003b253c806b4a1bbb0ebf85fbfc5b9e
11,HTML Essential Training (2017),aa5211f8ef694ceaab523e1eaa320bbc
12,Transitioning from Manager to Leader,0efe04c28a07449ebec69edc5eb658ee
13,Java Deep Dive,74ffc88520854275ba960c313bc18ff2
14,Sales Foundations,3fb8c1a31ffd43129d8c317932c426bb
15,Artificial Intelligence Foundations: Thinking Machines,6c64ad582be44c789aa86ae303c1094d
16,Software Architecture Foundations,0a1f15b2c1104f12ab402735c7ab7a83
17,Cross-Selling,ea28ce82b34e4d07a61312a9dfff731b
18,Communicating with Charisma,ac09fa0e21a847aaae0d003f91302283
19,Understanding Capital Markets,e8467236888a4385a73b299cb3a52bfa
20,Investment Evaluation,ff3122e97d5e4aec81ffcc638d3c39c0
21,Learning R (2013),bc4f14be55314563ab67485b1b858eca
22,Python Essential Training,ccbe858331584af6a2273be7dfae9e9d
23,Learning Amazon Web Services Lambda,8387c60c75884a7ea84b58bd9013030d
24,Learning Moodle 3.7,4a4f33d4a7b84e98b8271096ec0a0372
25,Strategic Thinking,9e9569b6f7084df59fe3d0155d06b4ec
26,Getting Things Done,5bb5395684d24ffbb82f62b797626e28
28,AWS for Developers: S3,2be16897945548fc94661fc5bd503478
29,Configure and Manage SharePoint Online,4e84dc3ba0f441a488c0d2cf600b9017
30,Learning Data Governance,5a563b826faa426c87828e40cf1a6ab4
31,AWS: Networking,44fdde9cff40455b99653f423f4d85ce
32,Kubernetes: Monitoring with Prometheus,152ee84c09ce459f85356b825f1c091a
33,Selling to Executives,3aac01f04ce34c838ad89b25d9ded56d
34,Advanced Python,77cf9a7d932e43f583971df547f99ca2
35,WordPress: Workflows,24a086a304ef455fa5dbf9281192376f
36,Following Up after a Sales Meeting,6e343159622443c19398c763a9c621b5
37,Diversity Recruiting,692bd6be394943288697ba74ff966dad
38,Introduction to Data Science,b54c3446334d4881b6b3f7e578ba357a
39,Management Foundations,27d81b4469c14f358a211d97e9c18ba8
40,Decoding Body Language,26db90f8282a4d6a90404a46181c6dce
41,Kubernetes: Native Tools,955ca1b376914babb858e517bd000ad3
42,Executive Decision-Making,72c7bf26adec4682895d07ad0347411d
43,Mindfulness for Beginners,8c94de58fdee435093df31ba28e8bbc3
44,Learning Angular,8e35f4d2680f487cb50c63e2dfa25111
46,Learning the OWASP Top 10,2ef55f02e3bd4e3a9ac3ca14cc7cf2f6
47,Leading Virtual Meetings,756438979ac6442b88949fd3d3421055
48,Docker on AWS,9d7cbdc3f7a0494eb470972a69ee43fd
50,Operational Excellence Foundations,bcfe3e71c8d64c4e80bfa13f60f45f02
51,Smartsheet Essential Training,d0b24aca500f4e079f478a135fed416f
52,YouTube Tips Weekly,36da325d27244fe0bea4e51addfae8d6
53,Learning Python,36e22641851e4ac08f5890bca14e3c77
54,Introduction to 5G,08695fae2afb4ae9a14dff3b7d86044e
55,Lean Foundations,d7ddae7f9f3a42ebb42687574ace7c69
57,Learning ITIL®,52b4aeed0b8e4f7a89961872d809f3fe
59,AWS Essential Training for Developers,34053fa3997c4d9a87090daeae9abf2b
60,Learning ECMAScript 6,953f53f829484b50a78650399340d26d
61,Unit Testing in Python,ad67a62bae9041849f6152f97856c68a
62,The DIY Photographer,6aac7414400f495287258e60d786d9e1
63,WordPress: SEO,5211b3b7070a451896f446061a8c45b9
