,content,uuid
0,Read Music FAST!,d8e64459f49245a9acb57bb96b5b9830
2,Complete Introduction to Microsoft Power BI [2020 Edition],16d578962f6a4e0eb094559445af3b28
6,Teach Your Kids to Code: Learn Python Programming at Any Age,4e14a01a011242edabc5ae95600faa85
19,Beginner Piano,83fa3706eb2e4375bbd0314233e91f39
23,Coding Kids: Let's Make Games!,e522fef6d0054f0caf93a5037b51a72f
25,Spanish for Beginners. The Complete Method. Level 1,fa17dfa74207443a8ba98e0441d9dbd7
30,Deep Learning and NLP A-Z™: How to create a ChatBot,56a5307b697c4fc586e975415d5b80eb
33,Microsoft Power BI - Up & Running With Power BI Desktop,cb1e17ad60a849879f3d122586709d43
34,The Business Intelligence Analyst Course 2020,dcb3d367065f4247981d63b4af206841
37,The Ultimate Piano Chords Course - for Piano & Keyboard,c901ba350a354855b618f722805d8d06
38,Microsoft Excel - Excel from Beginner to Advanced,9cf3e7f6c92b412890a64b49f495e234
42,Programming for Kids and Beginners: Learn to Code in Scratch,3370048e950e4571b2dd933378d296ca
45,Automate the Boring Stuff with Python Programming,c0005becbf744dde839a2d292923ec8e
47,AWS Certified Cloud Practitioner 2020,69580016f3484b829a069c310e68a827
48,Citrix NetScaler 12 - Introduction,1bdc5099883e44cca8eb1688fe5baf02
53,AWS Certified Solutions Architect - Associate,44aea56c95314d0eadca75461e2d6634
55,[NEW] Ultimate AWS Certified Cloud Practitioner - 2021,ddd826040b754cf0b4b16ca46309be9a
61,Cisco Network Security Master Class,daf62260a4914b57be24015486cf589a
63,Kubernetes for the Absolute Beginners - Hands-on,100a0f7cb57b4c528f2bd95864b10c13
64,Certified Kubernetes Administrator (CKA) with Practice Tests,9d18956bbe5e4974bad7ff6e3768a509
65,Java Programming Masterclass for Software Developers,65aef3ac19794da58ab7eced795f5abb
66,Master Microservices with Spring Boot and Spring Cloud,bda59c4a9d7349f19d474538342729fd
68,Web Design for Beginners: Real World Coding in HTML & CSS,f7c03448c69a46bfb36c03f51e5f8050
70,Understand the Mind: 15 Fascinating Psychology Studies,bbdc5688705b492a9d6831b12ed5635b
72,AZ-303 Azure Architecture Technologies Exam Prep 2020,f17861c4c73c498c9b4f0ecdae666ef8
73,How to Build Confidence in Your Abilities,4187f35bf58145088dbfd8392e4edf44
74,Newly Updated for 2020/21 - Comprehensive Guide to LinkedIn,f1a9ec06d4a54cb38c45a6186fc9834d
76,[2021] CCMM: Learn How to Grow Your Professional Network,e447921dc4a040328dff5eec5b1dbabe
77,Acorns' Guide to Personal Finance,f20d3ded07704e5cbcefd8a526e28232
79,10 Facebook Marketing Strategies That Make Me 6-Figures,fd3d93aac4044e21960094850b1cc678
82,Learn Business English (Professional Language),94da9373d3b34786865bc4f0075d49a7
83,ArtWorks! Art Therapy Guide For Personal Development,d871a01fa292490fb5c65811d5c4c016
86,Kubernetes Certified Application Developer (CKAD) with Tests,78bcf3d9818e4e89adc971483d96fe9c
87,Docker Certified Associate 2020,d72fec9b0039452791f50d30b8e99be4
96,Statistics for Data Science and Business Analysis,c74580f763514876b1b686b60c2e2d8a
103,Ansible for Network Engineers: Quick Start GNS3 & Ansible,cafb52b9b79f47119c9e1a227a783fae
104,Wireshark: Packet Analysis and Ethical Hacking: Core Skills,98fbc6bd488b4756b4c2f7f3f081d8a9
107,Goal Setting Success: A Complete Blueprint for Life Planning,eac8159b9600465aae1f213709a78061
108,Beginning C++ Programming - From Beginner to Beyond,183122f2a3284b5fb1392d6119e58db2
109,Python 3 Network Programming - Build 5 Network Applications,78a3f54ac82e4ea4bbc1a55d2086f212
110,The Python Mega Course: Build 10 Real World Applications,c81f2c78fd604ac89911c2bb5cfc9e7c
111,Cisco Nexus Training : Go from Beginner to Advanced!,4722db32cbc64975a8f1efa846411e85
113,Introduction to Cloud Computing on Amazon AWS for Beginners,4618e1b743224eb38256c37c602dc1b1
114,Docker for the Absolute Beginner - Hands On - DevOps,0fd0416484744ccfb95f6b0eb1d32227
116,Yoga Flexibility Challenge: 15 Minutes x 15 Days (2/6),e7bcaaf1bf7b4f68919017185d4d41b6
117,Cumulus Linux from Basics to Advanced VXLAN EVPN - 2020,31ae9a9d39c94c7c8795d622964eb2d4
127,The Web Developer Bootcamp 2020,4a73439ff26a4b9da7b10c1325d7f694
132,The Complete JavaScript Course 2020: From Zero to Expert!,01b52aa5940948e09a7885b66d1d91a6
135,3 Minute Spanish - Course 1 | Language lessons for beginners,6cb56a9281e24150b4b100a8c7b07e58
137,Practice Java by Building Projects,85a501b5cdfd441a89f973b61c23c69c
141,JavaScript Algorithms and Data Structures Masterclass,3f654782a4844205958557b80bc70665
145,Learn JavaScript: Full-Stack from Scratch,7b9bb1d2fe534d959b62c80fc35be873
146,The Complete Python Course | Learn Python by Doing,4a07be70f7ec401b99e93434d15ccc97
147,Docker and Kubernetes: The Complete Guide,5a884a35686b46f18749efc5b5e1df5c
148,The Complete Ethical Hacking Course,b6606b2d39b74a02a251c8db1c12ce03
156,Radiate Confidence: How to Create a 1000 Watt Presence,c29c76dee5b64948991c7f46440f7100
157,Write Better Emails: Tactics for Smarter Team Communication,e8200ccf03ef459daa5af8427d9e82da
158,The Ultimate Hands-On Hadoop - Tame your Big Data!,597ee5777aaf45ba9e334061ae9a8f88
159,Go: The Complete Developer's Guide (Golang),d32bc1b6fd8443429754500c224da8ad
161,"Complete Guide to Protocol Buffers 3 [Java, Golang, Python]",519eea87bfa8400f877c42124465f6ae
162,The Coding Interview Bootcamp: Algorithms + Data Structures,51053c619f7f4bf6aabd7df5342fced8
163,Data Structures and Algorithms: Deep Dive Using Java,e96fcca4450a40f58351210563fa912f
164,Master the Coding Interview: Data Structures + Algorithms,a34c9264de9e44929f4f8b7e45a451b8
165,Complete Python Developer in 2021: Zero to Mastery,7bb42f6b7f334b96a11513a17d0e0ae5
166,Apache Kafka Series - Learn Apache Kafka for Beginners v2,407680c174494e10af9cfbe5788c652c
171,"Understanding Jira for users, managers and admins",0c27b27343a440c1bd0d8200bda5b739
174,Team workflows in JIRA,e8cd2ed16e40498ab524b84209d05c9d
175,"Machine Learning, Data Science and Deep Learning with Python",eec51b2bd2454d4dbb778ba08cd883af
190,The Complete Python & PostgreSQL Developer Course,589ca2be9512480a8a682acd838447f4
196,Cluster Analysis and Unsupervised Machine Learning in Python,37201484e3794b609498963440b7d180
198,Machine Learning A-Z™: Hands-On Python & R In Data Science,200bc3c4c8db426197b0e20f61a632c1
199,The Complete Python/PostgreSQL Course 2.0,1566ad985150455ca1acc9c10782636a
201,"Python for Data Structures, Algorithms, and Interviews!",f6b544c6ad9040e4b466216666d9623f
202,Advanced C Programming Course,13ae5e1faf074d4e9d928fe76be63a4c
204,Cisco ISE v2.4 Video Training,c74913c507b941b99e370e96d9d43e49
205,Learn and Understand AngularJS,405ac44b9dad4c78b4c8b8fa6b04ec81
207,Linux Administration Bootcamp: Go from Beginner to Advanced,58a8b3891f19484aa1e20d93bab27a25
213,"React - The Complete Guide (incl Hooks, React Router, Redux)",2fac9d75ce934f30a3ecc2857e88f8f0
215,Java Programming for Complete Beginners,e060a04395294cf0af2d3df576da9d19
218,Django 2.2 & Python | The Ultimate Web Development Bootcamp,c8b16be5c99a4c3b8118192e14231b80
219,The Data Science Course 2020: Complete Data Science Bootcamp,539fbecd26154c9a9a35eb2dbaec9be1
229,The Complete SQL Bootcamp 2020: Go from Zero to Hero,29a4dba1e4ab4753b1657119c6121022
234,Start Using Wireshark to Hack like a Pro,bf76ce5df2f24b66a9e5322a4b96ef68
235,The Complete Cyber Security Course : Network Security!,da6e1e904c1f403eac3576fdf87509a1
236,Microsoft Excel for Mac - Office 365 on Mac OS,43ae69bd2a0f45299860f6dad85b4757
237,"Diversity, Equity, and Inclusion: A Beginner’s Guide",d58d9f62f058480cbb43d84850724868
238,Tables and Formulas with Excel [2020 Edition],1502e13bd3084625b41e554f92c28d24
239,2020 Complete Python Bootcamp: From Zero to Hero in Python,1672daf832b940c980c0120cde1b6f04
253,Mastering Ansible,29e3a2fafea54ab79a3eec16e664bc9a
257,Unity & C# - Build A Complete 2D Mobile Platformer Game,89eaca0bde6f4c5fb91a669c4d5f50c2
263,Learn German Language: Complete German Course - Beginners,a97a8c2e7dc7456ca34baec99de0e692
264,Data Science 2020 : Complete Data Science & Machine Learning,c87eae29d04a493ebc11efec0142cb50
268,ABC of Cisco SDWAN Viptela Part 1,3e7c79eed91e44c1aa53cb7082f272cd
278,Game Development/Art - Create a 2D Action Game with Unity/C#,3b442f1e04254dc794ce13f965b8e46e
279,Neural Networks in Python from Scratch: Complete guide,63e43235afc344279fb77a6c836b0fde
280,Pianoforall - Incredible New Way To Learn Piano & Keyboard,42a20da2e66c4f0ba37fad436b79af62
283,Learn How To Code: Google's Go (golang) Programming Language,6ab698189aec41c3978307910d89e74a
284,Web Development w/ Google’s Go (golang) Programming Language,5824a76792a541c8bb0554bd06a91fa0
286,Python and Django Full Stack Web Developer Bootcamp,50deffa58ece4120a3b7ecab97551a84
301,MongoDB - The Complete Developer's Guide 2020,0f23a7a9b50f4575b691efba83a6b262
302,R Programming A-Z™: R For Data Science With Real Exercises!,779ab617d4b0419491a030a4c4897d82
304,Practical Ethical Hacking - The Complete Course,9b588abf8fbe43bd963dd7d9d14e5134
305,IELTS Band 7+ Complete Prep Course,b389241017204a408840db4f80a9771e
306,Python 3: Deep Dive (Part 1 - Functional),c92a561e34d44e5aaa54d684a35b252f
319,"Python 3: Deep Dive (Part 2 - Iteration, Generators)",50c0ad13595849f48162833de23d3777
334,The Complete TOEFL iBT Success Course (NEW VERSION),490a0f9108144f54a7fb3b1b9ef22a1f
335,Dynamic Programming - I,ff228d7ba454466b9a633219558cf649
336,Python 3: Deep Dive (Part 3 - Hash Maps),c8f569215de14a00aa922602c8a2cea1
341,Tensorflow 2.0: Deep Learning and Artificial Intelligence,e0895c028d3f429e9434387d093f57be
359,Probability for Statistics and Data Science,789e4a2e7b9441d89604c28ca6adb0c5
361,Complete High Speed Vedic Math Course,0727286a1687478ab6626edaaef3e0b2
362,Linux for Beginners,aa42e0018ee647efa6c46eab45d684a5
363,Working with MongoDB,c9862554eed64fa99ad2193af5b23cea
364,Master the Fundamentals of Math,1779520fe67846c099616cb90c4f9d5d
365,Javascript for Beginners Learn by Doing Practical Exercises,a9d7b273d743417681fa32e921f04ade
373,How to Manage by Delegating (So You Can Achieve Your Goals)!,2699070a272a49438f80bedae6a622b1
374,Data Structures and Algorithms Bootcamp,af03ca05b4fa47c080d21d1a0b0e6c32
375,"English Vocabulary - SAT, GRE, GMAT, TOEFL",bac939116b6a4e668e19662f83450415
376,Soft Skills: The 11 Essential Career Soft Skills,4f4b4048f24a461781e4173d596f9713
378,The Complete Pandas Bootcamp 2020: Data Science with Python,ca8525724c90481d8e2b1874e847d37f
379,Data Structures and Algorithms - The Complete Masterclass,74023b827db3485db49c3b8841a8cbe4
380,Moodle: From Novice Teacher to Expert Online Educator,3defb13cadc5494a8c8048e947e94d4a
381,11 Essential Coding Interview Questions + Coding Exercises!,1bb324045cd54c8d9384c199ce9594fd
383,Learn Visual Studio Code (2020),74cf45e18b4d45f88da6981ea3bad809
399,SDLC Overview (1 Hour) - Software Development Life Cycle,bfb6e1309a634f1685094c2598429704
400,Ansible for the Absolute Beginner - Hands-On - DevOps,dde01313464b4f368b1e715aa46cd661
401,Ansible Advanced - Hands-On - DevOps,7ecacf49f2d148b694c195aeb81e37e2
403,Accounting in 60 Minutes - A Brief Introduction,8378db5f84dd4ca3a08d602e7766bbd0
417,CFA® Level 1 (2020/21) - Complete Economics,49733212c2e847cc99620157154f1e64
452,A Beginner's Guide to Augmented Reality with Unity,452aeeefb292498e87a4e3f2e1c40cf5
453,GitHub Ultimate: Master Git and GitHub - Beginner to Expert,02b999594a634b02a6e4f15fdd82ac8e
454,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,77630401cfb94c6c9f5eea5dc41465c5
461,Java Multithreading,369f6667235845d4911e5c23ce5807d8
471,Git Going Fast: One Hour Git Crash Course,d2715193db9042b1a981054e2fd4b929
475,Python for Data Science and Machine Learning Bootcamp,665dff89feeb458f8350e89bb50e5e49
486,Complete Linux Troubleshooting Course (Practical Examples),a6a73994429d404fbc8b3060672ca0d0
498,JavaScript: Understanding the Weird Parts,6c328652068541818d567efcd49a5e63
519,The Complete Cyber Security Course : Hackers Exposed!,45edd572418b466c911aad8863214ad7
520,Learn Python Programming Masterclass,abef2f1f9e3449b28a9cbfda7b730cb5
525,Spring Framework Master Class - Java Spring the Modern Way,d0887434ee994d339ceaaaf9ff7754e9
533,Advanced C Programming: Pointers,c874bd9eab2b46dab44d591c17e8ccb6
534,Technical Analysis MasterClass:Trading By Technical Analysis,510b63cb46bc43c0acbc11916da2a1ec
546,Webpack 4: Beyond the Basics,e341cf316daf4dfcbe13f6486ef77c02
550,JavaScript: The Advanced Concepts,984c7b636dbe4cd2a2716701d8f51e78
564,Java Design Patterns & SOLID Design Principles,19e72ad16f1546ee9e3658620fa8c224
570,"Java Multithreading, Concurrency & Performance Optimization",76e61f40a21749a483e8828a5a9f9703
573,Asynchronous JavaScript,47caf7e2276e4daab3b94a00e308fb11
574,The Web Developer Bootcamp,bf4a987ba79a4c8c951c188ecb8c3962
575,Kubernetes Hands-On - Deploy Microservices to the AWS Cloud,8827770458ec450b93761db55655e4d3
578,"Asynchronous JavaScript: Promises, Callbacks, Async Await",ded0760448ef4d2ab8945917d63f7db6
581,Mastering Data Structures & Algorithms using C and C++,6faf21f75def44d9928aef155d093549
589,Mastering Java SE programming. From Beginner to Master,7ed771b4e4f142bc9c4212e9b8aaf104
592,JavaScript - The Complete Guide 2020 (Beginner + Advanced),d6b2223c4e684c0aa8ea4021880e2a3e
613,MPLS Layer 3 VPN,07c028de1f304f0b97c6907ff981209f
628,PRINCE2 Foundation Complete Course & 2 Practice Exams,edbb0a7887c34a03a5a9cf5ab610a258
